"Run","Requests","AvgMs","P95Ms","HttpFailedRate","Status200","Status429","Status503","StatusOther","BlockedRate"
"after","104","77.83","128.22","1","0","104","0","0","1"
"before","22","2226.75","6599.4","0.5455","10","12","0","0","0.5455"
